0.000000E+0	8.977333E-2
3.906250E-5	9.044256E-2
7.812500E-5	8.865795E-2
1.171875E-4	8.901225E-2
1.562500E-4	8.990455E-2
1.953125E-4	8.958962E-2
2.343750E-4	8.978645E-2
2.734375E-4	8.868419E-2
3.125000E-4	8.796248E-2
3.515625E-4	8.973396E-2
3.906250E-4	8.987830E-2
4.296875E-4	8.931405E-2
4.687500E-4	8.892039E-2
5.078125E-4	8.877605E-2
5.468750E-4	8.853985E-2
5.859375E-4	8.885478E-2
6.250000E-4	8.937966E-2
6.640625E-4	8.948464E-2
7.031250E-4	8.793623E-2
7.421875E-4	8.958962E-2
7.812500E-4	8.855297E-2
8.203125E-4	8.893351E-2
8.593750E-4	8.823804E-2
8.984375E-4	8.796248E-2
9.375000E-4	8.735886E-2
9.765625E-4	8.878917E-2
1.015625E-3	8.863170E-2
1.054687E-3	8.889415E-2
1.093750E-3	8.835614E-2
1.132812E-3	8.970772E-2
1.171875E-3	8.737198E-2
1.210937E-3	8.905161E-2
1.250000E-3	8.859234E-2
1.289062E-3	8.817243E-2
1.328125E-3	8.878917E-2
1.367187E-3	8.813306E-2
1.406250E-3	8.834302E-2
1.445312E-3	9.029821E-2
1.484375E-3	8.983894E-2
1.523437E-3	8.948464E-2
1.562500E-3	9.032446E-2
1.601562E-3	8.962898E-2
1.640625E-3	8.955025E-2
1.679687E-3	8.993079E-2
1.718750E-3	8.947152E-2
1.757812E-3	8.889415E-2
1.796875E-3	8.892039E-2
1.835937E-3	9.024572E-2
1.875000E-3	8.864483E-2
1.914062E-3	9.104617E-2
1.953125E-3	9.049504E-2
1.992187E-3	9.004889E-2
2.031250E-3	8.991767E-2
2.070312E-3	8.918283E-2
2.109375E-3	9.066563E-2
2.148437E-3	8.902537E-2
2.187500E-3	9.086246E-2
2.226562E-3	8.945840E-2
2.265625E-3	9.168916E-2
2.304687E-3	9.018011E-2
2.343750E-3	9.069188E-2
2.382812E-3	9.140047E-2
2.421875E-3	8.920908E-2
2.460937E-3	8.995704E-2
2.500000E-3	9.023260E-2
